iter	RMSE
0	10.4426629
1	10.00699595
2	9.624270135
3	9.318205235
4	9.063332512
5	8.842548249
6	8.662485118
7	8.50818285
8	8.380669455
9	8.288539391
10	8.185413758
11	8.117179484
12	8.057083737
13	8.01329652
14	7.960305701
15	7.913436524
16	7.873190781
17	7.844801329
18	7.821953371
19	7.786950483
20	7.760732226
21	7.736839776
22	7.7068988
23	7.677980808
24	7.665818673
25	7.644340858
26	7.63661104
27	7.619275487
28	7.611101998
29	7.5948414
30	7.543200452
31	7.533624436
32	7.520414676
33	7.510112431
34	7.474105465
35	7.466797548
36	7.45261522
37	7.447719291
38	7.398390203
39	7.387417736
40	7.382140083
41	7.363083838
42	7.355828824
43	7.338276334
44	7.318377242
45	7.308374264
46	7.299438307
47	7.280805761
48	7.271394404
49	7.263409369
50	7.251261793
51	7.246908324
52	7.24395598
53	7.24180368
54	7.233062932
55	7.22548217
56	7.219585957
57	7.213711089
58	7.206861991
59	7.200042759
60	7.192828894
61	7.189329752
62	7.179241258
63	7.176059399
64	7.174740442
65	7.17216821
66	7.163699119
67	7.161686887
68	7.143857689
69	7.139551926
70	7.102733524
71	7.100758798
72	7.079368144
73	7.073020042
74	7.05992884
75	7.055651943
76	7.043551818
77	7.038409666
78	7.026064732
79	7.023200579
80	7.016621325
81	7.014076207
82	7.011182434
83	7.000666324
84	6.994357017
85	6.990108804
86	6.988109767
87	6.983219094
88	6.970463238
89	6.96212533
90	6.958710824
91	6.954591298
92	6.948304878
93	6.943036257
94	6.938450456
95	6.937367355
96	6.929069763
97	6.925281136
98	6.921746847
99	6.9202982
100	6.91674428
101	6.914660112
102	6.897329259
103	6.895182994
104	6.891301966
105	6.887378328
106	6.883372105
107	6.881100187
108	6.875371568
109	6.873571587
110	6.836686743
111	6.833885952
112	6.831881915
113	6.828088949
114	6.827293941
115	6.806146187
116	6.802655854
117	6.784192325
118	6.778819897
119	6.776689491
120	6.77472167
121	6.773795064
122	6.771815621
123	6.76870351
124	6.749959038
125	6.748390168
126	6.745730339
127	6.744305787
128	6.738782155
129	6.73329002
130	6.731056331
131	6.724890664
132	6.723200426
133	6.721665627
134	6.720439743
135	6.71880702
136	6.715275568
137	6.714388511
138	6.710820766
139	6.706981811
140	6.706044147
141	6.705365511
142	6.681812264
143	6.672000039
144	6.670700882
145	6.669219396
146	6.657989247
147	6.62145585
148	6.618052771
149	6.61555556
150	6.613354384
151	6.610313442
152	6.606633332
153	6.60545107
154	6.603121903
155	6.601787975
156	6.597277024
157	6.575521655
158	6.565421979
159	6.562953084
160	6.56059194
161	6.555253492
162	6.552372783
163	6.551381473
164	6.521937226
165	6.5202727
166	6.515744827
167	6.51274837
168	6.504701114
169	6.503398759
170	6.499640175
171	6.491398829
172	6.488167173
173	6.474802423
174	6.470056913
175	6.467955293
176	6.466089261
177	6.45585277
178	6.453066257
179	6.449051994
180	6.447996263
181	6.424244473
182	6.420912457
183	6.419158415
184	6.414996392
185	6.41233056
186	6.410458358
187	6.406639369
188	6.403700924
189	6.401907905
190	6.399063214
191	6.39832523
192	6.39638088
193	6.393804392
194	6.391535399
195	6.389703689
196	6.389315421
197	6.387279614
198	6.386322247
199	6.385147973
200	6.384389366
201	6.370598678
202	6.367935679
203	6.361328786
204	6.360567211
205	6.359718129
206	6.35909803
207	6.358414857
208	6.35767023
209	6.355719235
210	6.354991734
211	6.351015748
212	6.349256857
213	6.346908757
214	6.341515184
215	6.33741456
216	6.336235337
217	6.334090397
218	6.321081383
219	6.319776106
220	6.318901575
221	6.313849602
222	6.311611631
223	6.309776578
224	6.307373124
225	6.305054223
226	6.303914292
227	6.295164791
228	6.293825042
229	6.292570789
230	6.291395485
231	6.290293276
232	6.289258897
233	6.278015845
234	6.27591759
235	6.274732287
236	6.273922463
237	6.273091655
238	6.263238655
239	6.252081812
240	6.251187504
241	6.250348025
242	6.24955955
243	6.248818607
244	6.248172621
245	6.239085377
246	6.238390548
247	6.237647071
248	6.237130802
249	6.220253373
250	6.21710354
251	6.213319883
252	6.212526311
253	6.202282223
254	6.199060253
255	6.1974971
256	6.184588357
257	6.183812754
258	6.182885121
259	6.181832067
260	6.178058392
261	6.177004843
262	6.176034227
263	6.165925988
264	6.163103706
265	6.156633998
266	6.155115189
267	6.147111831
268	6.146256824
269	6.145474844
270	6.142679877
271	6.142008315
272	6.137997009
273	6.136306406
274	6.135779552
275	6.131791737
276	6.12920207
277	6.128788694
278	6.128090157
279	6.126697745
280	6.123319023
281	6.122423392
282	6.122002972
283	6.119510503
284	6.118909456
285	6.115813202
286	6.115329336
287	6.113965964
288	6.113351771
289	6.111921861
290	6.110888317
291	6.107302339
292	6.105955017
293	6.095614711
294	6.094737889
295	6.092048177
296	6.090763404
297	6.087362712
298	6.086065485
299	6.084073599
300	6.081091762
301	6.08044135
302	6.079664051
303	6.077549313
304	6.077177076
305	6.076689039
306	6.07302954
307	6.070473111
308	6.069989529
309	6.066783891
310	6.06623496
311	6.06493307
312	6.063911011
313	6.061711681
314	6.061353842
315	6.059761172
316	6.059243249
317	6.056224856
318	6.055258965
319	6.054247057
320	6.052861307
321	6.052244759
322	6.051842346
323	6.04909751
324	6.047422341
325	6.046282181
326	6.043131584
327	6.040791967
328	6.040175647
329	6.037244911
330	6.035551968
331	6.034928034
332	6.034233098
333	6.033399555
334	6.032779389
335	6.029553611
336	6.025794369
337	6.024903341
338	6.022015401
339	6.021630295
340	6.021329363
341	6.020220679
342	6.018883749
343	6.017100221
344	6.008727423
345	6.007417989
346	6.006672668
347	6.003023251
348	6.002490135
349	6.0013908
350	6.000312725
351	5.999116078
352	5.978921126
353	5.976616473
354	5.9750398
355	5.9744452
356	5.971867407
357	5.969921188
358	5.966412884
359	5.96549625
360	5.960038148
361	5.957169142
362	5.953193181
363	5.951951943
364	5.950792714
365	5.949101456
366	5.946062635
367	5.944927472
368	5.943285637
369	5.94259993
370	5.942141254
371	5.941411423
372	5.940953597
373	5.939778689
374	5.939219993
375	5.937260679
376	5.936789717
377	5.934022455
378	5.932686722
379	5.929743434
380	5.929165416
381	5.926847431
382	5.925519429
383	5.924982063
384	5.923768613
385	5.922946442
386	5.922389399
387	5.920569959
388	5.911626574
389	5.910806676
390	5.910062161
391	5.903832791
392	5.90176911
393	5.899539342
394	5.898949512
395	5.89833605
396	5.897634206
397	5.895743109
398	5.89505667
399	5.89443398
400	5.878240791
401	5.877367296
402	5.876305811
403	5.875598946
404	5.874886816
405	5.872842011
406	5.871928908
407	5.860437138
408	5.859905586
409	5.858438038
410	5.857502417
411	5.854977775
412	5.853851518
413	5.852187678
414	5.851730406
415	5.851471735
416	5.850231266
417	5.849224857
418	5.848240326
419	5.846998039
420	5.843996022
421	5.843737144
422	5.843400849
423	5.841650421
424	5.841043436
425	5.840544072
426	5.839770274
427	5.838582517
428	5.836775111
429	5.836292804
430	5.832461173
431	5.831493765
432	5.831168429
433	5.819348088
434	5.818873652
435	5.81850158
436	5.816700074
437	5.815072655
438	5.814486766
439	5.812027841
440	5.811532077
441	5.808705421
442	5.808263168
443	5.806789596
444	5.805153496
445	5.804289549
446	5.802960481
447	5.798207048
448	5.797709713
449	5.797191501
450	5.796758837
451	5.796329718
452	5.795857785
453	5.795433175
454	5.794936348
455	5.794471775
456	5.79395513
457	5.793345189
458	5.791275502
459	5.789944743
460	5.788252401
461	5.787699142
462	5.786726575
463	5.785668819
464	5.784963803
465	5.782192918
466	5.78191054
467	5.776798684
468	5.773875759
469	5.771917835
470	5.771421128
471	5.769104188
472	5.768317652
473	5.767850208
474	5.767387687
475	5.759285694
476	5.758762919
477	5.757341149
478	5.757136251
479	5.756773584
480	5.744694581
481	5.744168705
482	5.739996885
483	5.739618259
484	5.739018471
485	5.737501486
486	5.732344361
487	5.731538539
488	5.727236605
489	5.726678236
490	5.722239605
491	5.721917282
492	5.721285219
493	5.720844286
494	5.720024797
495	5.719491986
496	5.718841403
497	5.718509315
498	5.717521346
499	5.715925309
500	5.71553845
501	5.714221738
502	5.709725088
503	5.708959061
504	5.707683774
505	5.706051751
506	5.703759967
507	5.702915076
508	5.700645213
509	5.698363138
510	5.692882096
511	5.692665452
512	5.692279244
513	5.690721667
514	5.689071742
515	5.68827391
516	5.68466755
517	5.683880219
518	5.683566264
519	5.68329987
520	5.682514803
521	5.682196426
522	5.681625934
523	5.680711539
524	5.680249437
525	5.678538072
526	5.678121436
527	5.677664958
528	5.677442274
529	5.672613233
530	5.670094049
531	5.669600929
532	5.665838304
533	5.662186278
534	5.661915315
535	5.661531731
536	5.661350525
537	5.660577361
538	5.660099598
539	5.659813619
540	5.659095793
541	5.658382228
542	5.657933997
543	5.656654159
544	5.656415817
545	5.654937127
546	5.653770273
547	5.653283586
548	5.652958415
549	5.652422713
550	5.652102024
551	5.650162646
552	5.649391919
553	5.649203897
554	5.648006282
555	5.647394409
556	5.647130909
557	5.646741052
558	5.646478169
559	5.646006029
560	5.645648971
561	5.645070015
562	5.643030642
563	5.642201317
564	5.640701189
565	5.638966251
566	5.638515664
567	5.635240853
568	5.634361493
569	5.632644793
570	5.632197437
571	5.630480302
572	5.630043783
573	5.629210985
574	5.628634623
575	5.626813986
576	5.62635985
577	5.626163219
578	5.625664682
579	5.625262756
580	5.624819224
581	5.622562586
582	5.621993428
583	5.621412076
584	5.620931403
585	5.620659715
586	5.618479691
587	5.618106076
588	5.617100164
589	5.613357686
590	5.612964822
591	5.61151447
592	5.610900622
593	5.607049988
594	5.606068752
595	5.605622073
596	5.604673531
597	5.604008677
598	5.603507576
599	5.6008963
600	5.600513702
601	5.599773153
602	5.598308066
603	5.597694055
604	5.595444785
605	5.595080401
606	5.562713992
607	5.562296322
608	5.561618892
609	5.561440314
610	5.559828395
611	5.559606533
612	5.559420501
613	5.559117081
614	5.558728706
615	5.558338727
616	5.557274283
617	5.556948331
618	5.556602124
619	5.556377558
620	5.556056783
621	5.55426551
622	5.550582976
623	5.549954152
624	5.549706774
625	5.548434267
626	5.548064275
627	5.54736154
628	5.546957303
629	5.546616964
630	5.545592598
631	5.544592397
632	5.542926101
633	5.540318786
634	5.539692994
635	5.539035156
636	5.538351758
637	5.53800021
638	5.53748396
639	5.536901967
640	5.536001649
641	5.535218849
642	5.534424656
643	5.533572423
644	5.533099281
645	5.532668364
646	5.532552456
647	5.532334108
648	5.532120319
649	5.530602439
650	5.530413411
651	5.529978932
652	5.529531259
653	5.528863719
654	5.528711374
655	5.528481776
656	5.5282016
657	5.524615348
658	5.522702759
659	5.522332328
660	5.521850722
661	5.521089964
662	5.520804076
663	5.517298847
664	5.516269852
665	5.514788486
666	5.514453052
667	5.513646106
668	5.513201403
669	5.512717699
670	5.511309816
671	5.511142804
672	5.509419392
673	5.509246204
674	5.498186444
675	5.49787314
676	5.496882584
677	5.488581755
678	5.487966883
679	5.487532131
680	5.487159423
681	5.486011099
682	5.48574548
683	5.483747418
684	5.483389241
685	5.483063359
686	5.48286803
687	5.481281475
688	5.480940247
689	5.480114951
690	5.47767538
691	5.475924557
692	5.474734167
693	5.47336512
694	5.472655104
695	5.472193098
696	5.470380285
697	5.470107502
698	5.466880786
699	5.457361377
700	5.456913037
701	5.455274833
702	5.454496684
703	5.45405921
704	5.453566009
705	5.453340674
706	5.453116364
707	5.452874795
708	5.452319479
709	5.452220995
710	5.451762186
711	5.451561471
712	5.451134525
713	5.449660608
714	5.446267417
715	5.445975468
716	5.444681025
717	5.444207613
718	5.444023253
719	5.443744822
720	5.442469304
