iter	Passed	Remaining
0	35	35684
1	69	34851
2	110	36703
3	149	37119
4	188	37446
5	226	37533
6	264	37477
7	306	37972
8	344	37942
9	387	38383
10	436	39216
11	473	38975
12	513	39002
13	545	38401
14	574	37725
15	609	37490
16	647	37420
17	687	37519
18	726	37517
19	763	37387
20	798	37234
21	832	36999
22	871	37004
23	909	36969
24	951	37102
25	989	37055
26	1022	36861
27	1049	36448
28	1083	36293
29	1124	36351
30	1157	36192
31	1195	36152
32	1225	35901
33	1250	35537
34	1276	35188
35	1311	35122
36	1347	35062
37	1385	35068
38	1424	35108
39	1467	35221
40	1502	35151
41	1540	35143
42	1578	35140
43	1619	35181
44	1653	35090
45	1689	35029
46	1725	34988
47	1763	34983
48	1802	34986
49	1838	34936
50	1878	34958
51	1914	34895
52	1954	34919
53	1992	34905
54	2031	34903
55	2068	34861
56	2105	34834
57	2144	34823
58	2179	34758
59	2213	34675
60	2251	34657
61	2287	34603
62	2320	34506
63	2360	34524
64	2399	34511
65	2435	34467
66	2476	34484
67	2516	34496
68	2555	34478
69	2591	34433
70	2630	34417
71	2672	34448
72	2708	34389
73	2750	34415
74	2786	34363
75	2825	34348
76	2861	34295
77	2900	34281
78	2942	34306
79	2980	34270
80	3018	34244
81	3060	34265
82	3095	34202
83	3130	34141
84	3166	34081
85	3201	34023
86	3240	34009
87	3280	34002
88	3317	33960
89	3358	33960
90	3398	33949
91	3437	33922
92	3467	33820
93	3502	33758
94	3545	33776
95	3586	33771
96	3625	33754
97	3662	33710
98	3701	33683
99	3747	33727
100	3788	33722
101	3816	33596
102	3845	33487
103	3870	33344
104	3892	33177
105	3918	33047
106	3948	32949
107	3979	32868
108	4011	32788
109	4046	32737
110	4084	32709
111	4125	32706
112	4162	32677
113	4198	32631
114	4236	32601
115	4277	32595
116	4312	32544
117	4356	32560
118	4394	32534
119	4432	32505
120	4471	32486
121	4517	32512
122	4571	32597
123	4600	32500
124	4628	32400
125	4659	32319
126	4691	32248
127	4731	32231
128	4773	32227
129	4815	32223
130	4857	32225
131	4895	32192
132	4933	32163
133	4973	32140
134	5014	32130
135	5057	32131
136	5098	32115
137	5133	32068
138	5174	32050
139	5210	32009
140	5246	31960
141	5285	31934
142	5321	31891
143	5363	31882
144	5403	31861
145	5450	31883
146	5491	31862
147	5522	31790
148	5555	31732
149	5598	31727
150	5640	31712
151	5681	31694
152	5719	31664
153	5761	31649
154	5799	31614
155	5841	31605
156	5879	31568
157	5918	31541
158	5953	31489
159	5985	31424
160	6024	31394
161	6061	31355
162	6095	31299
163	6136	31282
164	6175	31251
165	6212	31212
166	6250	31175
167	6288	31143
168	6326	31108
169	6365	31078
170	6406	31058
171	6444	31025
172	6482	30989
173	6524	30970
174	6560	30930
175	6595	30878
176	6639	30873
177	6676	30833
178	6716	30807
179	6757	30786
180	6795	30747
181	6836	30726
182	6877	30702
183	6914	30663
184	6957	30650
185	6993	30605
186	7028	30555
187	7068	30530
188	7108	30503
189	7147	30471
190	7190	30456
191	7230	30427
192	7269	30396
193	7306	30354
194	7348	30336
195	7390	30316
196	7433	30298
197	7473	30272
198	7516	30255
199	7558	30232
200	7597	30202
201	7638	30174
202	7680	30152
203	7715	30105
204	7750	30057
205	7790	30027
206	7830	29997
207	7875	29985
208	7921	29981
209	7965	29965
210	8006	29938
211	8041	29888
212	8083	29866
213	8118	29818
214	8157	29785
215	8199	29761
216	8239	29732
217	8278	29696
218	8316	29660
219	8361	29646
220	8401	29614
221	8437	29569
222	8483	29559
223	8534	29565
224	8581	29559
225	8629	29554
226	8684	29573
227	8728	29553
228	8770	29527
229	8811	29498
230	8851	29467
231	8887	29419
232	8925	29381
233	8967	29353
234	9015	29346
235	9064	29344
236	9096	29285
237	9125	29218
238	9164	29180
239	9199	29130
240	9238	29096
241	9277	29060
242	9321	29037
243	9362	29009
244	9405	28985
245	9445	28951
246	9494	28943
247	9539	28926
248	9589	28923
249	9638	28914
250	9685	28902
251	9731	28886
252	9773	28856
253	9820	28842
254	9864	28820
255	9909	28798
256	9955	28782
257	10004	28773
258	10053	28763
259	10098	28742
260	10143	28719
261	10187	28696
262	10227	28660
263	10265	28619
264	10304	28579
265	10340	28534
266	10382	28503
267	10423	28470
268	10465	28440
269	10506	28406
270	10548	28375
271	10588	28338
272	10624	28293
273	10667	28264
274	10705	28224
275	10750	28200
276	10793	28171
277	10838	28148
278	10881	28120
279	10923	28088
280	10968	28065
281	11011	28037
282	11053	28005
283	11098	27980
284	11132	27927
285	11162	27867
286	11201	27827
287	11246	27804
288	11292	27782
289	11331	27741
290	11376	27717
291	11420	27690
292	11459	27652
293	11504	27625
294	11546	27595
295	11579	27540
296	11608	27477
297	11643	27429
298	11672	27365
299	11711	27327
300	11748	27282
301	11795	27261
302	11835	27224
303	11873	27182
304	11919	27160
305	11961	27127
306	12001	27091
307	12036	27042
308	12077	27009
309	12117	26972
310	12152	26924
311	12193	26888
312	12231	26846
313	12272	26812
314	12302	26753
315	12342	26715
316	12392	26699
317	12433	26665
318	12467	26614
319	12504	26571
320	12543	26533
321	12586	26502
322	12625	26463
323	12662	26420
324	12703	26383
325	12736	26332
326	12788	26320
327	12841	26308
328	12894	26299
329	12944	26280
330	12978	26231
331	13012	26181
332	13053	26145
333	13097	26116
334	13142	26089
335	13182	26050
336	13238	26044
337	13279	26008
338	13306	25944
339	13335	25886
340	13365	25828
341	13399	25779
342	13445	25754
343	13486	25718
344	13529	25686
345	13568	25646
346	13607	25606
347	13652	25579
348	13691	25538
349	13729	25496
350	13768	25457
351	13816	25434
352	13871	25423
353	13915	25394
354	13957	25359
355	13994	25315
356	14035	25280
357	14078	25247
358	14122	25215
359	14163	25179
360	14204	25142
361	14245	25106
362	14287	25072
363	14325	25030
364	14367	24995
365	14398	24942
366	14431	24891
367	14459	24831
368	14487	24773
369	14524	24731
370	14564	24693
371	14608	24662
372	14651	24628
373	14693	24594
374	14735	24558
375	14775	24520
376	14814	24481
377	14854	24442
378	14903	24420
379	14946	24386
380	14987	24349
381	15026	24309
382	15063	24267
383	15108	24237
384	15152	24204
385	15195	24171
386	15232	24128
387	15273	24091
388	15315	24055
389	15359	24023
390	15399	23984
391	15444	23955
392	15476	23903
393	15508	23853
394	15543	23807
395	15585	23771
396	15626	23735
397	15669	23701
398	15711	23666
399	15751	23627
400	15795	23594
401	15834	23554
402	15875	23517
403	15932	23503
404	15972	23465
405	16013	23429
406	16054	23391
407	16097	23357
408	16138	23319
409	16178	23281
410	16218	23242
411	16256	23201
412	16297	23164
413	16338	23126
414	16378	23087
415	16427	23061
416	16461	23014
417	16493	22964
418	16533	22925
419	16574	22888
420	16620	22858
421	16655	22813
422	16698	22778
423	16735	22735
424	16776	22697
425	16817	22659
426	16857	22621
427	16893	22576
428	16932	22536
429	16976	22503
430	17017	22465
431	17053	22422
432	17090	22379
433	17127	22336
434	17162	22290
435	17199	22249
436	17236	22206
437	17268	22157
438	17312	22124
439	17371	22109
440	17425	22087
441	17470	22056
442	17516	22023
443	17561	21991
444	17603	21955
445	17641	21913
446	17680	21873
447	17719	21832
448	17758	21792
449	17796	21751
450	17840	21716
451	17878	21676
452	17911	21627
453	17940	21576
454	17997	21557
455	18043	21525
456	18088	21492
457	18133	21459
458	18180	21428
459	18225	21395
460	18269	21360
461	18314	21327
462	18364	21299
463	18408	21264
464	18447	21224
465	18487	21185
466	18529	21148
467	18570	21109
468	18610	21071
469	18649	21030
470	18690	20991
471	18730	20953
472	18769	20912
473	18806	20869
474	18844	20828
475	18874	20778
476	18908	20732
477	18945	20689
478	18989	20654
479	19037	20624
480	19081	20589
481	19121	20549
482	19160	20508
483	19202	20472
484	19243	20434
485	19282	20393
486	19321	20353
487	19364	20317
488	19406	20279
489	19444	20238
490	19481	20195
491	19520	20155
492	19559	20114
493	19594	20070
494	19620	20016
495	19649	19966
496	19676	19914
497	19705	19863
498	19739	19818
499	19778	19778
500	19821	19742
501	19860	19701
502	19895	19658
503	19933	19616
504	19976	19580
505	20012	19538
506	20050	19497
507	20101	19468
508	20136	19424
509	20175	19383
510	20215	19344
511	20251	19302
512	20291	19262
513	20329	19222
514	20370	19183
515	20413	19147
516	20460	19114
517	20501	19076
518	20540	19036
519	20577	18994
520	20621	18959
521	20662	18920
522	20697	18876
523	20735	18836
524	20776	18797
525	20819	18761
526	20860	18722
527	20903	18686
528	20942	18646
529	20984	18608
530	21028	18572
531	21078	18542
532	21125	18509
533	21169	18473
534	21203	18428
535	21241	18388
536	21275	18343
537	21316	18305
538	21359	18268
539	21391	18222
540	21418	18172
541	21449	18124
542	21479	18077
543	21518	18037
544	21554	17995
545	21590	17952
546	21623	17907
547	21657	17863
548	21690	17818
549	21727	17776
550	21766	17737
551	21805	17697
552	21847	17659
553	21881	17616
554	21920	17575
555	21963	17538
556	22003	17500
557	22049	17465
558	22081	17420
559	22119	17379
560	22163	17343
561	22200	17302
562	22236	17259
563	22272	17217
564	22307	17175
565	22344	17133
566	22379	17090
567	22418	17050
568	22457	17010
569	22494	16969
570	22533	16929
571	22560	16880
572	22592	16835
573	22629	16795
574	22674	16759
575	22717	16722
576	22758	16684
577	22797	16644
578	22835	16604
579	22876	16565
580	22909	16521
581	22947	16481
582	22987	16441
583	23027	16403
584	23064	16362
585	23099	16319
586	23139	16280
587	23184	16245
588	23222	16204
589	23259	16163
590	23294	16120
591	23331	16079
592	23370	16039
593	23409	16000
594	23446	15959
595	23487	15921
596	23531	15884
597	23566	15842
598	23605	15802
599	23646	15764
600	23685	15724
601	23720	15682
602	23758	15642
603	23797	15602
604	23840	15565
605	23876	15523
606	23917	15484
607	23956	15445
608	23995	15405
609	24037	15368
610	24079	15330
611	24116	15289
612	24155	15249
613	24197	15212
614	24237	15173
615	24272	15130
616	24306	15088
617	24352	15052
618	24388	15011
619	24428	14972
620	24465	14931
621	24504	14891
622	24542	14851
623	24579	14810
624	24615	14769
625	24655	14730
626	24690	14688
627	24728	14648
628	24766	14608
629	24804	14567
630	24846	14530
631	24884	14489
632	24923	14450
633	24957	14407
634	24995	14367
635	25030	14325
636	25067	14284
637	25104	14244
638	25144	14205
639	25178	14162
640	25216	14122
641	25261	14086
642	25297	14045
643	25337	14006
644	25378	13967
645	25413	13926
646	25448	13884
647	25481	13841
648	25520	13802
649	25557	13761
650	25594	13721
651	25635	13682
652	25675	13643
653	25711	13602
654	25752	13564
655	25793	13525
656	25831	13485
657	25871	13447
658	25911	13407
659	25949	13368
660	25989	13328
661	26026	13288
662	26065	13249
663	26102	13208
664	26137	13167
665	26175	13127
666	26212	13086
667	26250	13046
668	26292	13008
669	26328	12967
670	26370	12929
671	26404	12888
672	26445	12849
673	26484	12810
674	26518	12768
675	26552	12726
676	26592	12687
677	26633	12648
678	26668	12607
679	26710	12569
680	26744	12527
681	26782	12487
682	26821	12448
683	26858	12408
684	26898	12369
685	26937	12329
686	26977	12291
687	27015	12251
688	27052	12211
689	27089	12170
690	27120	12127
691	27156	12086
692	27196	12048
693	27233	12008
694	27275	11969
695	27321	11933
696	27358	11893
697	27397	11853
698	27438	11815
699	27477	11776
700	27517	11737
701	27559	11699
702	27599	11659
703	27635	11619
704	27677	11581
705	27711	11540
706	27747	11499
707	27783	11458
708	27821	11418
709	27858	11378
710	27892	11337
711	27931	11298
712	27976	11261
713	28016	11222
714	28054	11182
715	28086	11140
716	28119	11098
717	28165	11062
718	28214	11026
719	28258	10989
720	28295	10949
721	28343	10913
722	28383	10874
723	28422	10835
724	28458	10794
725	28499	10756
726	28539	10716
727	28582	10679
728	28627	10642
729	28676	10606
730	28719	10568
731	28766	10532
732	28816	10496
733	28864	10460
734	28904	10421
735	28947	10383
736	28989	10344
737	29023	10303
738	29065	10265
739	29107	10227
740	29144	10186
741	29184	10147
742	29219	10107
743	29258	10067
744	29293	10026
745	29336	9988
746	29382	9951
747	29422	9912
748	29461	9873
749	29502	9834
750	29539	9794
751	29581	9755
752	29625	9717
753	29665	9678
754	29706	9640
755	29742	9599
756	29780	9559
757	29820	9520
758	29858	9480
759	29898	9441
760	29936	9401
761	29976	9362
762	30015	9323
763	30050	9282
764	30091	9243
765	30129	9203
766	30166	9163
767	30196	9121
768	30231	9081
769	30267	9040
770	30300	8999
771	30340	8960
772	30380	8921
773	30417	8881
774	30446	8839
775	30481	8798
776	30518	8758
777	30553	8718
778	30593	8679
779	30632	8639
780	30670	8600
781	30708	8560
782	30747	8521
783	30786	8482
784	30822	8441
785	30859	8401
786	30903	8363
787	30940	8324
788	30980	8284
789	31017	8245
790	31051	8204
791	31088	8164
792	31124	8124
793	31167	8086
794	31204	8046
795	31242	8006
796	31279	7966
797	31314	7926
798	31358	7888
799	31399	7849
800	31439	7810
801	31478	7771
802	31520	7732
803	31560	7693
804	31600	7654
805	31636	7614
806	31675	7575
807	31712	7535
808	31750	7495
809	31789	7456
810	31826	7417
811	31864	7377
812	31900	7337
813	31939	7298
814	31978	7259
815	32018	7219
816	32057	7180
817	32105	7143
818	32146	7104
819	32183	7064
820	32226	7026
821	32267	6987
822	32316	6950
823	32360	6911
824	32394	6871
825	32431	6831
826	32475	6793
827	32510	6753
828	32541	6712
829	32577	6672
830	32616	6633
831	32653	6593
832	32694	6554
833	32730	6514
834	32766	6474
835	32806	6435
